a,b,c,d,,,,,,P11881
3tvc,2012,,COLLAGENASE 3 (MMP-13),,,,,,
3ljz,2011,,COLLAGENASE 3 (MMP-13),,,,,,
2d1n,2006,,COLLAGENASE 3 (MMP-13),,,,,,
3kek,2010,,COLLAGENASE 3 (MMP-13),,,,,,
456c,1999,,COLLAGENASE 3 (MMP-13),,,,,,
6std,1999,,SCYTALONE DEHYDRATASE,,,,,,
2std,1999,,SCYTALONE DEHYDRATASE,,,,,,
4std,1999,,SCYTALONE DEHYDRATASE,,,,,,
5std,1999,,SCYTALONE DEHYDRATASE,,,,,,
7std,1999,,SCYTALONE DEHYDRATASE,,,,,,
3std,1999,,SCYTALONE DEHYDRATASE,,,,,,
2bet,2004,,CARBOHYDRATE-PHOSPHATE ISOMERASE,,,,,,
2bes,2004,,CARBOHYDRATE-PHOSPHATE ISOMERASE,,,,,,
3lzz,2010,,PUTATIVE UNCHARACTERIZED PROTEIN,,,,,,
3n7a,2011,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
4kiu,2014,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
3n8k,2010,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
4ciw,2014,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
3n86,2011,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
3n76,2011,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
4b6o,2012,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
4b6p,2012,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
2xb8,2010,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
188l,1995,,T4 LYSOZYME,,,,,,
187l,1995,,T4 LYSOZYME,,,,,,
1l83,1993,,T4 LYSOZYME,,,,,,
185l,1995,,T4 LYSOZYME,,,,,,
4w52,2015,,T4 LYSOZYME,,,,,,
184l,1995,,T4 LYSOZYME,,,,,,
186l,1995,,T4 LYSOZYME,,,,,,
6gl8,2018,,"APOPTOSIS REGULATOR BCL-2,APOPTOSIS REGULATOR BCL-2",,,,,,
3cf8,2008,,(3R)-HYDROXYMYRISTOYL-ACYL CARRIER PROTEIN,,,,,,
2glp,2007,,(3R)-HYDROXYMYRISTOYL-ACYL CARRIER PROTEIN,,,,,,
3b7j,2008,,(3R)-HYDROXYMYRISTOYL-ACYL CARRIER PROTEIN,,,,,,
3ed0,2009,,(3R)-HYDROXYMYRISTOYL-ACYL CARRIER PROTEIN,,,,,,
3umq,2012,,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,,,,,,
3usx,2012,,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,,,,,,
3ng4,2010,,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,,,,,,
3uil,2012,,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,,,,,,
3nw3,2010,,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,,,,,,
4fnn,2012,,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,,,,,,
3o4k,2010,,PEPTIDOGLYCAN RECOGNITION PROTEIN 1,,,,,,
4b0b,2012,,3-HYDROXYDECANOYL-[ACYL-CARRIER-PROTEIN] DEHYDRATASE,,,,,,
4cl6,2015,,3-HYDROXYDECANOYL-[ACYL-CARRIER-PROTEIN] DEHYDRATASE,,,,,,
4bkt,2013,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4bks,2013,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4w9c,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4w9d,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4w9l,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4w9f,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
6gfz,2018,,ELONGIN-B,,,,,,
4w9i,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
6fmj,2018,,ELONGIN-B,,,,,,
4b9k,2012,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4w9j,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
5nw2,2017,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
5nw0,2017,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4w9k,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
5nw1,2017,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
5nvv,2017,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
4w9h,2014,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
5nvw,2017,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
5nvx,2017,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
5lli,2016,,TRANSCRIPTION ELONGATION FACTOR B POLYPEPTIDE 2,,,,,,
1b55,1999,,YROSINE-PROTEIN KINASE BTK,,,,,,
1cgl,1995,,COLLAGENASE 1 (MMP-1),,,,,,
966c,1999,,COLLAGENASE 1 (MMP-1),,,,,,
2nsl,2007,,PHOSPHORIBOSYL-AMINOIMIDAZOLE CARBOXYLASE,,,,,,
2nsj,2007,,PHOSPHORIBOSYL-AMINOIMIDAZOLE CARBOXYLASE,,,,,,
4lxd,2013,,APOPTOSIS REGULATOR BCL-2,,,,,,
4ieh,2013,,APOPTOSIS REGULATOR BCL-2,,,,,,
4lvt,2013,,APOPTOSIS REGULATOR BCL-2,,,,,,
4kax,2013,,ADP-RIBOSYLATION FACTOR 6,,,,,,
4k7i,2014,,PEROXIREDOXIN-5,,,,,,
4k7n,2014,,PEROXIREDOXIN-5,,,,,,
4mmm,2014,,PEROXIREDOXIN-5,,,,,,
4k7o,2014,,PEROXIREDOXIN-5,,,,,,
5dus,2016,,ORF1A,,,,,,
2xp7,2011,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE NIMA-INTERACTIN,,,,,,
3ikd,2009,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE NIMA-INTERACTIN,,,,,,
3ikg,2009,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE NIMA-INTERACTIN,,,,,,
2gl0,2006,,CONSERVED HYPOTHETICAL PROTEIN,,,,,,
3m3c,2010,,ANTI-TUMOR LECTIN,,,,,,
4jal,2013,,TRNA (CYTIDINE(34)-2'-O)-METHYLTRANSFERASE,,,,,,
4rdn,2014,,YTH DOMAIN-CONTAINING FAMILY PROTEIN 2,,,,,,
5d3x,2016,,"PHOSPHATIDYLINOSITOL 3,4,5-TRISPHOSPHATE-DEPENDENT RAC",,,,,,
6b7b,2017,,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE,,,,,,
6b7a,2017,,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE,,,,,,
6ckw,2018,,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE,,,,,,
6chp,2018,,PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE,,,,,,
5mg2,2017,,TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 1,,,,,,
5i29,2016,,TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 1,,,,,,
5i1q,2016,,TRANSCRIPTION INITIATION FACTOR TFIID SUBUNIT 1,,,,,,
3lka,2010,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
2hu6,2006,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3ehy,2009,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3lir,2010,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3tsk,2012,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3f19,2008,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3f1a,2008,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3f18,2008,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3n2v,2010,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3ehx,2009,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3lk8,2010,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3ljg,2010,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
4gr3,2013,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
4gr8,2013,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3n2u,2010,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
1rmz,2004,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
5cxa,2016,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3f15,2008,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3nx7,2010,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3f16,2008,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
5czm,2016,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
4efs,2012,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3f17,2008,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
3ts4,2012,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
4gr0,2013,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
4gql,2013,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
5d3c,2016,,MACROPHAGE METALLOELASTASE (MMP-12),,,,,,
2ra6,2007,,TRICHOSURIN,,,,,,
4elf,2013,,DIHYDROFOLATE REDUCTASE,,,,,,
4elh,2013,,DIHYDROFOLATE REDUCTASE,,,,,,
4elg,2013,,DIHYDROFOLATE REDUCTASE,,,,,,
3q7q,2011,,GTP-BINDING PROTEIN RAD,,,,,,
4in9,2013,,KARILYSIN PROTEASE,,,,,,
5kax,2016,,CTR107 PROTEIN,,,,,,
1jaq,1996,,NEUTROPHIL COLLAGENASE (MMP-8),,,,,,
1jao,1996,,NEUTROPHIL COLLAGENASE (MMP-8),,,,,,
1zs0,2006,,NEUTROPHIL COLLAGENASE (MMP-8),,,,,,
3tt4,2012,,NEUTROPHIL COLLAGENASE (MMP-8),,,,,,
1zvx,2006,,NEUTROPHIL COLLAGENASE (MMP-8),,,,,,
6gjm,2018,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
5lud,2017,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
6gjj,2018,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
6gjr,2018,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
6gjl,2018,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
6gji,2018,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
5t9w,2017,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
6gjn,2018,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
5t9z,2017,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
5t9u,2017,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
5ta4,2017,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
5ta2,2017,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE A,,,,,,
3elc,2009,,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE",,,,,,
2amt,2006,,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE",,,,,,
2gzl,2006,,"2-C-METHYL-D-ERYTHRITOL 2,4-CYCLODIPHOSPHATE SYNTHASE",,,,,,
5kat,2016,,SA2223 PROTEIN,,,,,,
5kcb,2016,,SA2223 PROTEIN,,,,,,
2r0h,2008,,CGL3 LECTIN,,,,,,
5lne,2016,,PUTATIVE FML FIMBRIAL ADHESIN FMLD,,,,,,
1lrh,2002,,AUXIN-BINDING PROTEIN 1,,,,,,
3tay,2012,,OUTER CAPSID PROTEIN VP4,,,,,,
6b4l,2017,,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,,,,,,
4zbi,2015,,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,,,,,,
4zbf,2015,,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,,,,,,
6b4u,2017,,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,,,,,,
5vkc,2017,,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,,,,,,
6euw,2017,,POLYMERASE BASIC PROTEIN 2,,,,,,
3nq3,2010,,BETA-LACTOGLOBULIN,,,,,,
3nq9,2010,,BETA-LACTOGLOBULIN,,,,,,
4gny,2013,,BETA-LACTOGLOBULIN,,,,,,
3ueu,2011,,BETA-LACTOGLOBULIN,,,,,,
3uev,2011,,BETA-LACTOGLOBULIN,,,,,,
6ge7,2018,,BETA-LACTOGLOBULIN,,,,,,
3uew,2011,,BETA-LACTOGLOBULIN,,,,,,
1gx8,2002,,BETA-LACTOGLOBULIN,,,,,,
6gf9,2018,,BETA-LACTOGLOBULIN,,,,,,
6gfs,2018,,BETA-LACTOGLOBULIN,,,,,,
6ghh,2018,,BETA-LACTOGLOBULIN,,,,,,
3uex,2011,,BETA-LACTOGLOBULIN,,,,,,
2gj5,2007,,BETA-LACTOGLOBULIN,,,,,,
6fs1,2018,,INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL,,,,,,
4kow,2013,,UNCHARACTERIZED PROTEIN,,,,,,
4f7v,2012,,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,,,,,,
1ex8,2001,,"6-HYDROXYMETHYL-7,8-DIHYDROPTERIN PYROPHOSPHOKINASE",,,,,,
4q0k,2014,,PHYTOHORMONE BINDING PROTEIN MTPHBP,,,,,,
5twj,2017,,RIBOSOMAL RNA LARGE SUBUNIT METHYLTRANSFERASE H,,,,,,
2p3i,2008,,"ROTAVIRUS SPIKE PROTEIN, VP4",,,,,,
4ad6,2013,,"7,8-DIHYDRO-6-HYDROXYMETHYLPTERIN-PYROPHOSPHOKINASE",,,,,,
3qbc,2012,,2-AMINO-4-HYDROXY-6-HYDROXYMETHYLDIHYDROPTERIDINE,,,,,,
1hi5,2001,,EOSINOPHIL-DERIVED NEUROTOXIN,,,,,,
1hi3,2001,,EOSINOPHIL-DERIVED NEUROTOXIN,,,,,,
5.00E+13,2015,,EOSINOPHIL-DERIVED NEUROTOXIN,,,,,,
1hi4,2001,,EOSINOPHIL-DERIVED NEUROTOXIN,,,,,,
2c92,2006,,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",,,,,,
2c97,2006,,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",,,,,,
2c94,2006,,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",,,,,,
1dhj,1994,,DIHYDROFOLATE REDUCTASE,,,,,,
1dhi,1994,,DIHYDROFOLATE REDUCTASE,,,,,,
2drc,1994,,DIHYDROFOLATE REDUCTASE,,,,,,
1g85,2002,,ODORANT-BINDING PROTEIN,,,,,,
1kyv,2002,,"6,7-DIMETHYL-8-RIBITYLLUMAZINE SYNTHASE",,,,,,
2d0k,2006,,DIHYDROFOLATE REDUCTASE,,,,,,
2w9h,2009,,DIHYDROFOLATE REDUCTASE,,,,,,
3cft,2009,,TRANSTHYRETIN,,,,,,
5l4j,2016,,TRANSTHYRETIN,,,,,,
3cfn,2009,,TRANSTHYRETIN,,,,,,
3nee,2010,,TRANSTHYRETIN,,,,,,
5l4m,2016,,TRANSTHYRETIN,,,,,,
3kgt,2010,,TRANSTHYRETIN,,,,,,
3nes,2010,,TRANSTHYRETIN,,,,,,
4deu,2012,,TRANSTHYRETIN,,,,,,
4det,2012,,TRANSTHYRETIN,,,,,,
5u4b,2017,,TRANSTHYRETIN,,,,,,
4des,2012,,TRANSTHYRETIN,,,,,,
3kgu,2010,,TRANSTHYRETIN,,,,,,
3neo,2010,,TRANSTHYRETIN,,,,,,
3nex,2010,,TRANSTHYRETIN,,,,,,
5u49,2017,,TRANSTHYRETIN,,,,,,
5en3,2016,,TRANSTHYRETIN,,,,,,
4der,2012,,TRANSTHYRETIN,,,,,,
5u4d,2017,,TRANSTHYRETIN,,,,,,
5ihh,2016,,TRANSTHYRETIN,,,,,,
5l4i,2016,,TRANSTHYRETIN,,,,,,
5ayt,2016,,TRANSTHYRETIN,,,,,,
5boj,2015,,TRANSTHYRETIN,,,,,,
4dew,2012,,TRANSTHYRETIN,,,,,,
2f7i,2005,,TRANSTHYRETIN,,,,,,
3p3t,2011,,TRANSTHYRETIN,,,,,,
3p3r,2011,,TRANSTHYRETIN,,,,,,
1bm7,1998,,TRANSTHYRETIN,,,,,,
3p3s,2011,,TRANSTHYRETIN,,,,,,
4d7b,2016,,TRANSTHYRETIN,,,,,,
2b9a,2005,,TRANSTHYRETIN,,,,,,
1e4h,2000,,TRANSTHYRETIN,,,,,,
2g5u,2006,,TRANSTHYRETIN,,,,,,
1h0a,2002,,EPSIN,,,,,,
4c5d,2014,,BCL-2-LIKE PROTEIN 1,,,,,,
4c52,2014,,BCL-2-LIKE PROTEIN 1,,,,,,
3zlr,2013,,BCL-2-LIKE PROTEIN 1,,,,,,
5ijr,2017,,NEUROPILIN-1,,,,,,
5jgi,2017,,NEUROPILIN-1,,,,,,
5jgq,2017,,NEUROPILIN-1,,,,,,
5jhk,2017,,NEUROPILIN-1,,,,,,
5iyy,2017,,NEUROPILIN-1,,,,,,
5j1x,2017,,NEUROPILIN-1,,,,,,
6fmc,2018,,NEUROPILIN-1,,,,,,
4rlu,2015,,(3R)-HYDROXYACYL-ACP DEHYDRATASE SUBUNIT HADA,,,,,,
4rlw,2015,,(3R)-HYDROXYACYL-ACP DEHYDRATASE SUBUNIT HADA,,,,,,
4rlt,2015,,(3R)-HYDROXYACYL-ACP DEHYDRATASE SUBUNIT HADA,,,,,,
5h9r,2016,,GALECTIN-3,,,,,,
1dzk,2000,,ODORANT-BINDING PROTEIN,,,,,,
1v1j,2005,,3-DEHYDROQUINATE DEHYDRATASE,,,,,,
2fqt,2006,,S-RIBOSYLHOMOCYSTEINE LYASE,,,,,,
2fqo,2006,,S-RIBOSYLHOMOCYSTEINE LYASE,,,,,,
3alt,2011,,"LECTIN CEL-IV, C-TYPE",,,,,,
3brn,2008,,LIPOCALIN,,,,,,
4fht,2013,,PCAV TRANSCRIPTIONAL REGULATOR,,,,,,
4mr6,2013,,BROMODOMAIN-CONTAINING PROTEIN 2,,,,,,
4qew,2014,,BROMODOMAIN-CONTAINING PROTEIN 2,,,,,,
4qev,2014,,BROMODOMAIN-CONTAINING PROTEIN 2,,,,,,
1ws1,2005,,PEPTIDE DEFORMYLASE 1,,,,,,
5f8y,2016,,GALNAC/GAL-SPECIFIC LECTIN,,,,,,
5hbn,2016,,NEGATIVE REGULATOR OF GENETIC COMPETENCE CLPC/MECB,,,,,,
1s5z,2005,,NUCLEOSIDE DIPHOSPHATE KINASE,,,,,,
4cp5,2015,,NUCLEOSIDE DIPHOSPHATE KINASE,,,,,,
4psb,2014,,CYTOKININ-SPECIFIC BINDING PROTEIN,,,,,,
1adl,1994,,ADIPOCYTE LIPID-BINDING PROTEIN,,,,,,
2ans,1999,,ADIPOCYTE LIPID-BINDING PROTEIN,,,,,,
3hk1,2009,,ADIPOCYTE LIPID-BINDING PROTEIN,,,,,,
1g74,2003,,ADIPOCYTE LIPID-BINDING PROTEIN,,,,,,
2qm9,2007,,ADIPOCYTE LIPID-BINDING PROTEIN,,,,,,
4qpl,2014,,E3 UBIQUITIN-PROTEIN LIGASE RNF146,,,,,,
5duw,2016,,GALECTIN-4,,,,,,
3ap4,2011,,GALECTIN-8,,,,,,
5t7s,2017,,GALECTIN-8,,,,,,
6hpw,2018,,PROTEIN ENL,,,,,,
6ht1,2018,,PROTEIN ENL,,,,,,
2yek,2011,,BROMODOMAIN-CONTAINING PROTEIN 2,,,,,,
2ydw,2011,,BROMODOMAIN-CONTAINING PROTEIN 2,,,,,,
4uyf,2014,,BROMODOMAIN-CONTAINING PROTEIN 2,,,,,,
3oy8,2010,,GALECTIN-1,,,,,,
3oyw,2010,,GALECTIN-1,,,,,,
3rdq,2011,,STREPTAVIDIN,,,,,,
3rdo,2011,,STREPTAVIDIN,,,,,,
1dud,1996,,DEOXYURIDINE 5'-TRIPHOSPHATE NUCLEOTIDOHYDROLASE,,,,,,
1s89,2004,,METHYLGLYOXAL SYNTHASE,,,,,,
1egh,2000,,METHYLGLYOXAL SYNTHASE,,,,,,
1ik4,2001,,METHYLGLYOXAL SYNTHASE,,,,,,
1ucn,2003,,NUCLEOSIDE DIPHOSPHATE KINASE A,,,,,,
5f2u,2016,,"RETINAL ROD RHODOPSIN-SENSITIVE CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,
5e8f,2015,,"RETINAL ROD RHODOPSIN-SENSITIVE CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,
5x74,2017,,"RETINAL ROD RHODOPSIN-SENSITIVE CGMP 3',5'-CYCLIC PHOSPHODIESTERASE",,,,,,
4p5d,2014,,2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1,,,,,,
4kxn,2014,,2'-DEOXYNUCLEOSIDE 5'-PHOSPHATE N-HYDROLASE 1,,,,,,
5y13,2018,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
5y12,2018,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
5d45,2016,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
5d47,2016,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
5edb,2016,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
2hnx,2006,,"FATTY ACID BINDING PROTEIN, ADIPOCYTE",,,,,,
5d48,2016,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
5edc,2016,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
5hz6,2016,,"FATTY ACID-BINDING PROTEIN, ADIPOCYTE",,,,,,
3bbf,2008,,NUCLEOSIDE DIPHOSPHATE KINASE B,,,,,,
3bbb,2008,,NUCLEOSIDE DIPHOSPHATE KINASE B,,,,,,
4uoh,2014,,NUCLEOSIDE DIPHOSPHATE KINASE,,,,,,
4uof,2014,,NUCLEOSIDE DIPHOSPHATE KINASE,,,,,,
4mre,2014,,CD44 ANTIGEN,,,,,,
4np2,2014,,CD44 ANTIGEN,,,,,,
4mrg,2014,,CD44 ANTIGEN,,,,,,
4np3,2014,,CD44 ANTIGEN,,,,,,
3bu1,2008,,LIPOCALIN,,,,,,
3wzn,2015,,STREPTAVIDIN,,,,,,
3x00,2015,,STREPTAVIDIN,,,,,,
4g0z,2012,,PROTEIN ARGONAUTE 1,,,,,,
4g0y,2012,,PROTEIN ARGONAUTE 1,,,,,,
4g0q,2012,,PROTEIN ARGONAUTE 1,,,,,,
4g0p,2012,,PROTEIN ARGONAUTE 1,,,,,,
5ahw,2015,,UNIVERSAL STRESS PROTEIN,,,,,,
5btx,2015,,LPG1496,,,,,,
2pql,2007,,"D7-RELATED 4 PROTEIN, D7R4",,,,,,
2xde,2010,,GAG POLYPROTEIN,,,,,,
5htl,2016,,MSHA BIOGENESIS PROTEIN MSHE,,,,,,
5xg5,2017,,MITSUBA-1,,,,,,
2hmu,2006,,YUAA PROTEIN,,,,,,
2hmv,2006,,YUAA PROTEIN,,,,,,
2w47,2009,,"LIPOLYTIC ENZYME, G-D-S-L",,,,,,
5yz2,2018,,MAGNESIUM AND COBALT EFFLUX PROTEIN CORC,,,,,,
5umx,2018,,GLYOXALASE/BLEOMYCIN RESISANCE PROTEIN/DIOXYGENASE,,,,,,
6bbx,2018,,GLYOXALASE/BLEOMYCIN RESISANCE PROTEIN/DIOXYGENASE,,,,,,
5umy,2018,,GLYOXALASE/BLEOMYCIN RESISANCE PROTEIN/DIOXYGENASE,,,,,,
1h6h,2001,,NEUTROPHIL CYTOSOL FACTOR 4,,,,,,
4ozj,2014,,NITROGEN REGULATORY PROTEIN P-II,,,,,,
4muv,2014,,CYCLIC NUCLEOTIDE-GATED POTASSIUM CHANNEL MLL3241,,,,,,
4nnr,2014,,PEPTIDYL-PROLYL CIS-TRANS ISOMERASE FKBP2,,,,,,
5km9,2017,,HISTIDINE TRIAD NUCLEOTIDE-BINDING PROTEIN 2,,,,,,
5yyf,2018,,PROTEIN AF-9,,,,,,
4rrg,2015,,THREONINE--TRNA LIGASE,,,,,,
4rrf,2015,,THREONINE--TRNA LIGASE,,,,,,
5d0c,2016,,BROMODOMAIN-CONTAINING PROTEIN 4,,,,,,
5cp5,2016,,BROMODOMAIN-CONTAINING PROTEIN 4,,,,,,
5cy9,2016,,BROMODOMAIN-CONTAINING PROTEIN 4,,,,,,
5y94,2018,,BROMODOMAIN-CONTAINING PROTEIN 4,,,,,,
5cqt,2016,,BROMODOMAIN-CONTAINING PROTEIN 4,,,,,,
5y8y,2018,,BROMODOMAIN-CONTAINING PROTEIN 4,,,,,,
5n1z,2017,,B-CELL LYMPHOMA 6 PROTEIN,,,,,,
3f7g,2009,,BACULOVIRAL IAP REPEAT-CONTAINING PROTEIN 7,,,,,,
5ha1,2016,,RETINOL-BINDING PROTEIN 1,,,,,,
5hbs,2016,,RETINOL-BINDING PROTEIN 1,,,,,,
5hwu,2016,,UNCHARACTERIZED PROTEIN,,,,,,
5hva,2016,,DR2231,,,,,,
3w9k,2013,,FATTY ACID BINDING PROTEIN,,,,,,
6exj,2018,,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN 3,,,,,,
5ovp,2018,,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN 3,,,,,,
5ovc,2018,,SH3 AND MULTIPLE ANKYRIN REPEAT DOMAINS PROTEIN 3,,,,,,
3qx9,2011,,PROTEIN ARGONAUTE 2,,,,,,
5hz5,2017,,FATTY ACID-BINDING PROTEIN,,,,,,
5n17,2017,,BROMODOMAIN-CONTAINING FACTOR 1,,,,,,
4rra,2015,,PROBABLE THREONINE--TRNA LIGASE 2,,,,,,
4rr6,2015,,PROBABLE THREONINE--TRNA LIGASE 2,,,,,,
1nki,2004,,PROBABLE FOSFOMYCIN RESISTANCE PROTEIN,,,,,,
1vyg,2004,,FATTY ACID-BINDING PROTEIN,,,,,,
1vyf,2004,,FATTY ACID-BINDING PROTEIN,,,,,,
5hz8,2016,,FATTY ACID-BINDING PROTEIN,,,,,,
4tkb,2015,,FATTY ACID-BINDING PROTEIN,,,,,,
3wvm,2015,,FATTY ACID-BINDING PROTEIN,,,,,,
4tkh,2015,,FATTY ACID-BINDING PROTEIN,,,,,,
1hmt,1995,,FATTY ACID-BINDING PROTEIN,,,,,,
4tjz,2015,,FATTY ACID-BINDING PROTEIN,,,,,,
4tkj,2015,,FATTY ACID-BINDING PROTEIN,,,,,,
1hms,1995,,FATTY ACID-BINDING PROTEIN,,,,,,
1hmr,1995,,FATTY ACID-BINDING PROTEIN,,,,,,
5hz9,2016,,FATTY ACID-BINDING PROTEIN,,,,,,
6gnm,2018,,TRANSTHYRETIN,,,,,,
6gnp,2018,,TRANSTHYRETIN,,,,,,
6gnw,2018,,TRANSTHYRETIN,,,,,,
